"","Name","Birth_Date","Age","Birth_Place","Country","Height","Weight","Association","Class","Fighter_id","NickName","Feet","Inch"
"766","Mike Pierce",1980-09-01,"38","Portland, Oregon","United States",10,"38","Sports Lab","Welterweight","character(0)","character(0)","5","8"
"767","Sean Pierson",1976-03-10,"42","Toronto, Ontario","Canada",15,"38","Tap Star","Welterweight","The Punisher","The Punisher","6","1"
"768","Roland Delorme",1983-12-18,"34","Winnipeg, Manitoba","Canada",11,"14","Winnipeg Academy of MMA","Bantamweight","Stunning","Stunning","5","9"
"769","Antonio Braga Neto",1987-10-29,"30","Rio de Janeiro, Rio de Janeiro","Brazil",17,"50","Team Nogueira","Middleweight","character(0)","character(0)","6","3"
"770","T.J. Grant",1984-02-26,"34","Cole Harbour, Nova Scotia","Canada",12,"29","Fit Plus","Lightweight","character(0)","character(0)","5","10"
"771","Paulo Thiago",1981-01-25,"37","Brasilia, Federal District","Brazil",13,"38","X-Gym","Welterweight","Caveira","Caveira","5","11"
"772","Pat Healy",1983-07-20,"35","St. Louis, Missouri","United States",12,"29","Sports Lab","Lightweight","Bam Bam","Bam Bam","5","10"
"773","Cody McKenzie",1987-12-16,"30","Cordova, Alaska","United States",14,"38","Warrior Camp / Spokane School of Boxing and MMA","Welterweight","The AK Kid","The AK Kid","6","0"
"774","Josh Thomson",1978-09-21,"40","San Jose, California","United States",12,"27","American Kickboxing Academy","Lightweight","The Punk","The Punk","5","10"
"775","Anthony Njokuani",1980-03-01,"38","Garland, Texas","United States",14,"29","Janjira Muay Thai / One Kick's Gym / Sergio Penha BJJ","Lightweight","The Assassin","The Assassin","6","0"
"776","Daniel Pineda",1985-08-06,"33","Houston, Texas","United States",9,"29","4oz. Fight Club","Lightweight","The Pit","The Pit","5","7"
"777","Tor Troeng",1983-01-25,"35","Umea","Sweden",16,"49","Renyi Fight Camp / Allstars Training Center","Middleweight","The Hammer","The Hammer","6","2"
"778","Papy Abedi",1978-06-30,"40","Stockholm","Sweden",13,"50","Allstars Training Center","Middleweight","Makambo","Makambo","5","11"
"779","Mike Ricci",1986-03-18,"32","Montreal, Quebec","Canada",14,"29","Tristar Gym","Lightweight","The Accountant","The Accountant","6","0"
"780","Kazuki Tokudome",1987-03-04,"31","Tokyo","Japan",13,"29","Paraestra Hachioji","Lightweight","character(0)","character(0)","5","11"
"781","Wanderlei Silva",1976-07-03,"42","Curitiba, Parana","Brazil",12,"50","Wand Fight Team","Middleweight","The Axe Murderer","The Axe Murderer","5","10"
"782","Nah-Shon Burrell",1990-02-05,"28","Philadelphia, Pennsylvania","United States",15,"38","Fight Firm","Welterweight","The Rock-N-Rolla","The Rock-N-Rolla","6","1"
"783","James Te Huna",1981-09-29,"37","Penrith, New South Wales","Australia",15,"50","Pirtek Athletic Allstars","Middleweight","character(0)","character(0)","6","1"
"784","Matt Riddle",1986-01-18,"32","Lehighton, Pennsylvania","United States",15,"38","Throwdown","Welterweight","Deep Waters","Deep Waters","6","1"
"785","Renee Forte",1987-03-27,"31","Fortaleza, Ceara","Brazil",10,"30","Team Renee Forte","Lightweight","character(0)","character(0)","5","8"
"786","Andy Ogle",1989-02-16,"29","Sunderland, Tyne and Wear","England",11,"19","Team Kaobon","Featherweight","The Little Axe","The Little Axe","5","9"
"787","Phil Harris",1983-04-09,"35","Portsmouth, Hampshire","England",7,"9","Gym01","Flyweight","Billy","Billy","5","5"
"788","Isaac Vallie-Flagg",1978-04-08,"40","Santa Fe, New Mexico","United States",10,"32","Jackson-Wink MMA","Welterweight","character(0)","character(0)","5","8"
"789","Pascal Krauss",1987-04-19,"31","Freiburg","Germany",15,"38","Peak MMA / Roufusport","Welterweight","Panzer","Panzer","6","1"
"790","David Mitchell",1979-10-24,"38","Windsor, California","United States",14,"50","Team Alpha Male","Middleweight","Bulletproof","Bulletproof","6","0"
"791","Ronny Markes",1988-04-21,"30","Natal, Rio Grande do Norte","Brazil",15,"60","Nova Uniao Kimura","Heavyweight","character(0)","character(0)","6","1"
"792","Pedro Nobre",1986-02-13,"32","Rio de Janeiro, Rio de Janeiro","Brazil",7,"9","Brazilian Top Team","Flyweight","The Rock","The Rock","5","5"
"793","Jamie Varner",1984-12-10,"33","Phoenix, Arizona","United States",10,"29","Arizona Combat Sports / MMA Lab","Lightweight","C-4","C-4","5","8"
"794","Joey Beltran",1981-12-09,"36","San Diego, California","United States",15,"57","Blackline / Alliance MMA","Light Heavyweight","The Mexicutioner","The Mexicutioner","6","1"
"795","Ben Alloway",1981-02-19,"37","Gold Coast, Queensland","Australia",12,"38","BBA Mixed Martial Arts","Welterweight","Benny Blanco","Benny Blanco","5","10"
"796","Cody Donovan",1981-02-20,"37","Denver, Colorado","United States",17,"57","Grudge Training Center","Light Heavyweight","Donnybrook","Donnybrook","6","3"
"797","Colton Smith",1987-08-14,"31","Manassas, Virginia","United States",14,"38","Vanguard","Welterweight","character(0)","character(0)","6","0"
"798","Pat Barry",1979-07-07,"39","New Orleans, Louisiana","United States",13,"77","Team Death Clutch / The Academy","Heavyweight","HD","HD","5","11"
"799","T.J. Waldburger",1988-04-25,"30","Belton, Texas","United States",13,"38","Grapplers Lair Fight Team","Welterweight","character(0)","character(0)","5","11"
"800","Mike Rio",1981-07-06,"37","Miami, Florida","United States",12,"29","Zen Jiu-Jitsu","Lightweight","The Wolverine","The Wolverine","5","10"
"801","Yves Edwards",1976-09-30,"42","Woodlands, Texas","United States",12,"29","American Top Team","Lightweight","Thugjitsu Master","Thugjitsu Master","5","10"
"802","Pablo Garza",1983-09-16,"35","Fargo, North Dakota","United States",15,"20","Academy of Combat Arts","Featherweight","The Scarecrow","The Scarecrow","6","1"
"803","Cyrille Diabate",1973-06-10,"45","Le Celle St. Clous, Haut de Seine","France",20,"57","Snake Team","Light Heavyweight","Snake","Snake","6","6"
"804","Antonio Carvalho",1979-05-30,"39","Toronto, Ontario","Canada",10,"20","Bruckmann Martial Arts","Featherweight","Pato","Pato","5","8"
"805","Ivan Menjivar",1982-05-30,"36","La Paz","El Salvador",8,"14","Tristar Gym","Bantamweight","Pride of El Salvador","Pride of El Salvador","5","6"
"806","Riki Fukuda",1981-01-06,"37","Tokyo, Kanto","Japan",14,"50","Grabaka","Middleweight","character(0)","character(0)","6","0"
"807","Cung Le",1972-05-25,"46","San Jose, California","United States",12,"50","Cung Le's Universal Strength Headquarters","Middleweight","character(0)","character(0)","5","10"
"808","Antonio Rodrigo Nogueira",1976-06-02,"42","Vitoria da Conquista, Bahia","Brazil",17,"80","Team Nogueira","Heavyweight","Minotauro","Minotauro","6","3"
"809","Jon Fitch",1978-02-24,"40","Fort Wayne, Indiana","United States",14,"38","One Kick's Gym","Welterweight","character(0)","character(0)","6","0"
"810","Cristiano Marcello",1977-12-03,"40","Curitiba, Parana","Brazil",12,"29","CM System","Lightweight","character(0)","character(0)","5","10"
"811","Justin Edwards",1983-01-26,"35","Cincinnati, Ohio","United States",12,"29","Team Jorge Gurgel","Lightweight","Fast Eddy","Fast Eddy","5","10"
"812","Marcus LeVesseur",1983-07-17,"35","Minneapolis, Minnesota","United States",12,"29","Minnesota Fight Factory","Lightweight","The Prospect","The Prospect","5","10"
"813","Jacob Volkmann",1980-09-05,"38","White Bear Lake, Minnesota","United States",11,"38","Minnesota Martial Arts Academy","Welterweight","Christmas","Christmas","5","9"
"814","Diego Nunes",1982-11-30,"35","Caxias do Sul, Rio Grande do Sul","Brazil",8,"20","Evolucao Thai","Featherweight","The Gun","The Gun","5","6"
"815","Darren Uyenoyama",1979-10-15,"38","San Francisco, California","United States",8,"9","Faito Tamashii Combat Club","Flyweight","BC","BC","5","6"
"816","Dan Hardy",1982-05-17,"36","Nottingham, East Midlands","England",14,"38","Team Rough House","Welterweight","The Outlaw","The Outlaw","6","0"
"817","John Hathaway",1987-07-01,"31","Brighton, Sussex","England",16,"38","London Shootfighters","Welterweight","The Hitman","The Hitman","6","2"
"818","Che Mills",1982-09-29,"36","Gloucester, Gloucestershire","England",16,"38","Trojan Free Fighters","Welterweight","Beautiful","Beautiful","6","2"
"819","Matt Hamill",1976-10-05,"41","Loveland, Ohio","United States",16,"57","Independent","Light Heavyweight","The Hammer","The Hammer","6","2"
"820","Vinny Magalhaes",1984-07-02,"34","Rio de Janeiro","Brazil",17,"57","Syndicate MMA","Light Heavyweight","Pezao","Pezao","6","3"
"821","Michael Kuiper",1989-06-07,"29","Tilburg","Netherlands",14,"50","Team Topfighter","Middleweight","Judo","Judo","6","0"
"822","Mike Swick",1979-06-19,"39","San Jose, California","United States",15,"38","AKA Thailand","Welterweight","Quick","Quick","6","1"
"823","Nam Phan",1983-03-13,"35","Garden Grove, California","United States",8,"17","Nam Phan MMA Academy","Featherweight","character(0)","character(0)","5","6"
"824","Wagner Prado",1986-12-30,"31","Campinas, Sao Paulo","Brazil",15,"57","Evolucao Thai","Light Heavyweight","Caldeirao","Caldeirao","6","1"
"825","Philip De Fries",1986-04-21,"32","Sunderland, Tyne and Wear","England",18,"88","Alliance MMA","Heavyweight","F-11","F-11","6","4"
"826","Cheick Kongo",1975-05-17,"43","Paris","France",18,"74","Kongo Smashin' Club","Heavyweight","character(0)","character(0)","6","4"
"827","James Head",1984-02-09,"34","Oklahoma City, Oklahoma","United States",16,"38","R-1 MMA","Welterweight","character(0)","character(0)","6","2"
"828","Nick Ring",1979-02-10,"39","Calgary, Alberta","Canada",14,"50","Champion's Creed MMA","Middleweight","The Promise","The Promise","6","0"
"829","Anton Kuivanen",1984-05-01,"34","Helsinki","Finland",11,"29","Primus Fight Team / GB Gym","Lightweight","character(0)","character(0)","5","9"
"830","Aaron Simpson",1974-07-20,"44","Phoenix, Arizona","United States",14,"38","Power MMA Team","Welterweight","A-Train","A-Train","6","0"
"831","Forrest Griffin",1979-07-01,"39","Athens, Georgia","United States",17,"57","Xtreme Couture / Throwdown","Light Heavyweight","character(0)","character(0)","6","3"
"832","Mike Easton",1984-01-25,"34","Temple Hills, Maryland","United States",8,"14","Alliance MMA","Bantamweight","The Hulk","The Hulk","5","6"
"833","Shane Roller",1979-07-14,"39","Bixby, Oklahoma","United States",12,"29","Team Takedown","Lightweight","character(0)","character(0)","5","10"
"834","Rafaello Oliveira",1982-01-26,"36","Whippany, New Jersey","United States",10,"29","AMA Fight Club","Lightweight","Tractor","Tractor","5","8"
"835","Thiago de Oliveira Perpetuo",1986-12-14,"31","Santo Andre, Sao Paulo","Brazil",12,"38","Furacao Fight Team","Welterweight","Bodao","Bodao","5","10"
"836","Marcos Vinicius Borges Pancini",1979-12-05,"38","Curitiba, Parana","Brazil",11,"20","Team Bronx","Featherweight","Vina","Vina","5","9"
"837","Rich Franklin",1974-10-05,"43","Cincinnati, Ohio","United States",15,"50","Team Extreme","Middleweight","Ace","Ace","6","1"
"838","Dan Miller",1981-06-30,"37","Sparta, New Jersey","United States",15,"50","Miller Brothers MMA","Middleweight","character(0)","character(0)","6","1"
"839","Ken Stone",1982-10-08,"35","Coconut Creek, Florida","United States",10,"14","American Top Team","Bantamweight","character(0)","character(0)","5","8"
"840","Matt Grice",1981-07-29,"37","Harrah, Oklahoma","United States",10,"20","R-1 MMA","Featherweight","The Real One","The Real One","5","8"
"841","Dustin Pague",1987-08-05,"31","Harrisburg, Pennsylvania","United States",11,"26","Disciple MMA","Lightweight","The Disciple","The Disciple","5","9"
"842","Buddy Roberts",1982-10-17,"35","Albuquerque, New Mexico","United States",16,"50","Jackson-Wink MMA","Middleweight","character(0)","character(0)","6","2"
"843","Henry Martinez",1983-08-07,"35","Albuquerque, New Mexico","United States",9,"29","Team Irish","Lightweight","character(0)","character(0)","5","7"
"844","Justin Lawrence",1990-05-15,"28","Pacific, Missouri","United States",10,"20","Power MMA","Featherweight","The American Kid","The American Kid","5","8"
"845","Martin Kampmann",1982-04-17,"36","Aarhus","Denmark",14,"38","Xtreme Couture","Welterweight","Hitman","Hitman","6","0"
"846","Paul Sass",1988-08-04,"30","Liverpool","England",15,"29","Team Kaobon","Lightweight","Sassangle","Sassangle","6","1"
"847","Mike Thomas Brown",1975-09-08,"43","Portland, Maine","United States",8,"20","American Top Team","Featherweight","character(0)","character(0)","5","6"
"848","Amir Sadollah",1980-08-27,"38","Richmond, Virginia","United States",13,"38","Syndicate MMA","Welterweight","character(0)","character(0)","5","11"
"849","Igor Pokrajac",1979-02-01,"39","Zagreb","Croatia",14,"57","American Top Team","Light Heavyweight","The Duke","The Duke","6","0"
"850","Alan Belcher",1984-04-24,"34","Biloxi, Mississippi","United States",16,"50","Roufusport / Remix MMA","Middleweight","The Talent","The Talent","6","2"
"851","Lavar Johnson",1977-06-11,"41","Madera, California","United States",17,"93","Pro Buhawe","Heavyweight","Big","Big","6","3"
"852","Karlos Vemola",1985-07-01,"33","Olomouc","Czech Republic",14,"57","London Shootfighters","Light Heavyweight","The Terminator","The Terminator","6","0"
"853","Eddie Yagin",1979-03-23,"39","Honolulu, Hawaii","United States",8,"20","Kong Submission Academy","Featherweight","The Filipino Phenom","The Filipino Phenom","5","6"
"854","Mac Danzig",1980-01-02,"38","Los Angeles, California","United States",10,"29","Danzig MMA","Lightweight","character(0)","character(0)","5","8"
"855","Brian Stann",1980-09-24,"38","Jacksonville, North Carolina","United States",15,"50","Jackson-Wink MMA","Middleweight","All-American","All-American","6","1"
"856","John Maguire",1983-05-19,"35","Wisbech, Cambridgeshire","England",11,"37","Tsunami Gym","Welterweight","The One","The One","5","9"
"857","Simeon Thoresen",1984-03-14,"34","Oslo","Norway",15,"38","Frontline Academy","Welterweight","The Grin","The Grin","6","1"
"858","Jason Young",1986-06-28,"32","London","England",11,"20","American Top Team / Team Titan","Featherweight","Shotgun","Shotgun","5","9"
"859","Issei Tamura",1984-03-12,"34","Shinagawa, Tokyo","Japan",7,"20","Krazy Bee","Featherweight","character(0)","character(0)","5","5"
"860","Jonathan Brookins",1985-08-13,"33","Orlando, Florida","United States",14,"20","Tristar Gym","Featherweight","character(0)","character(0)","6","0"
"861","Josh Koscheck",1977-11-30,"40","Buffalo, New York","United States",12,"38","Dethrone Base Camp","Welterweight","Kos","Kos","5","10"
"862","Edwin Figueroa",1984-07-31,"34","McKinney, Texas","United States",9,"14","Mohler MMA","Bantamweight","El Feroz","El Feroz","5","7"
"863","Josh Neer",1983-03-24,"35","Des Moines, Iowa","United States",13,"38","Cesar Gracie Fight Team","Welterweight","The Dentist","The Dentist","5","11"
"864","Jorge Rivera",1972-02-28,"46","Milford, Massachusetts","United States",15,"50","Rivera Athletic Center","Middleweight","El Conquistador","El Conquistador","6","1"
"865","Charlie Brenneman",1981-02-09,"37","Hollidaysburg, Pennsylvania","United States",12,"29","AMA Fight Club","Lightweight","The Spaniard","The Spaniard","5","10"
"866","Fabricio Camoes",1978-12-23,"39","Rio de Janeiro","Brazil",11,"29","Gracie Humaita / Black House","Lightweight","Morango","Morango","5","9"
"867","Nick Denis",1983-10-11,"34","Ottawa, Ontario","Canada",8,"14","Ronin MMA","Bantamweight","The Ninja of Love","The Ninja of Love","5","6"
"868","Carlo Prater",1981-06-25,"37","Brasilia, Federal District","Brazil",14,"38","Neo Dojo / Thugjitsu","Welterweight","Neo","Neo","6","0"
"869","Dennis Hallman",1975-12-02,"42","Yelm, Washington","United States",11,"47","Victory Athletics","Middleweight","Superman","Superman","5","9"
"870","Jake Hecht",1984-02-09,"34","Moscow Mills, Missouri","United States",14,"38","Fiore MMA","Welterweight","Hitman","Hitman","6","0"
"871","John Cholish",1983-12-17,"34","Hackettstown, New Jersey","United States",13,"29","Renzo Gracie Jiu-Jitsu","Lightweight","character(0)","character(0)","5","11"
"872","John Albert",1986-10-13,"31","Puyallup, Washington","United States",11,"14","Victory Athletics","Bantamweight","Prince","Prince","5","9"
"873","Stephan Bonnar",1977-04-04,"41","Hammond, Indiana","United States",17,"57","One Kick's Gym","Light Heavyweight","The American Psycho","The American Psycho","6","3"
"874","Miguel Torres",1981-01-18,"37","East Chicago, Indiana","United States",11,"20","Tristar Gym","Featherweight","character(0)","character(0)","5","9"
"875","DaMarques Johnson",1982-06-28,"36","Salt Lake City, Utah","United States",14,"38","Elite Performance","Welterweight","Darkness","Darkness","6","0"
"876","Aaron Rosa",1983-05-28,"35","San Antonio, Texas","United States",17,"57","Rodrigo Pinheiro Brazilian Jiu-Jitsu","Light Heavyweight","character(0)","character(0)","6","3"
"877","Terry Etim",1986-01-11,"32","Liverpool","England",15,"29","Team Kaobon","Lightweight","character(0)","character(0)","6","1"
"878","Michihiro Omigawa",1975-12-19,"42","Ibaraki","Japan",8,"20","Neo Judo Academy","Featherweight","Michi","Michi","5","6"
"879","Bart Palaszewski",1983-05-30,"35","Crystal Lake, Illinois","United States",11,"20","Team Curran","Featherweight","Bartimus","Bartimus","5","9"
"880","Brandon Vera",1977-10-10,"40","San Diego, California","United States",16,"57","Alliance MMA","Light Heavyweight","The Truth","The Truth","6","2"
"881","Clifford Starks",1981-04-25,"37","Tempe, Arizona","United States",12,"50","Arizona Combat Sports","Middleweight","Big Cat","Big Cat","5","10"
"882","Nick Diaz",1983-08-02,"35","Stockton, California","United States",15,"38","Cesar Gracie Fight Team","Welterweight","character(0)","character(0)","6","1"
"883","Mike Massenzio",1982-11-01,"35","Paterson, New Jersey","United States",16,"50","Team Bombsquad","Middleweight","character(0)","character(0)","6","2"
"884","Walel Watson",1984-07-16,"34","San Diego, California","United States",13,"13","Team Hurricane Awesome / 10th Planet Jiu-Jitsu","Bantamweight","The Gazelle","The Gazelle","5","11"
"885","Vagner Rocha",1982-06-06,"36","Rio de Janeiro","Brazil",13,"29","Team VRMA","Lightweight","Ceara","Ceara","5","11"
"886","Stanislav Nedkov",1981-09-12,"37","Veliko Tarnovo","Bulgaria",13,"55","Bushido Bulgaria","Light Heavyweight","character(0)","character(0)","5","11"
"887","Duane Ludwig",1978-08-04,"40","Denver, Colorado","United States",12,"38","Grudge Training Center","Welterweight","Bang","Bang","5","10"
"888","Jared Hamman",1982-03-07,"36","Atascadero, California","United States",17,"57","Dynamix MMA","Light Heavyweight","The Messenger","The Messenger","6","3"
"889","Chris Lytle",1974-08-18,"44","Indianapolis, Indiana","United States",13,"38","Integrated Fighting Academy","Welterweight","Lights Out","Lights Out","5","11"
"890","Chris Leben",1980-07-21,"38","Portland, Oregon","United States",13,"50","Alliance MMA","Middleweight","The Crippler","The Crippler","5","11"
"891","Tito Ortiz",1975-01-23,"43","Huntington Beach, California","United States",16,"57","Team Punishment","Light Heavyweight","The Huntington Beach Bad Boy","The Huntington Beach Bad Boy","6","2"
"892","Brian Bowles",1980-06-22,"38","Athens, Georgia","United States",9,"14","Hardcore Gym","Bantamweight","character(0)","character(0)","5","7"
"893","Jeff Hougland",1978-08-02,"40","Enumclaw, Washington","United States",11,"14","Combat Sport and Fitness","Bantamweight","Hellbound","Hellbound","5","9"
"894","Tyson Griffin",1984-04-20,"34","Santa Rosa, California","United States",8,"29","American Kickboxing Academy","Lightweight","character(0)","character(0)","5","6"
"895","Javier Vazquez",1977-07-16,"41","Pomona, California","United States",9,"20","Gracie Jiu-Jitsu","Featherweight","Showtime","Showtime","5","7"
"896","Rich Attonito",1977-06-16,"41","Deerfield Beach, Florida","United States",12,"38","American Top Team","Welterweight","The Raging Bull","The Raging Bull","5","10"
"897","Kenny Florian",1976-05-26,"42","Westwood, Massachusetts","United States",12,"20","Florian Martial Arts Center","Featherweight","KenFlo","KenFlo","5","10"
"898","Dave Herman",1984-10-03,"34","Columbia City, Indiana","United States",18,"66","Team Quest","Heavyweight","character(0)","character(0)","6","4"
"899","Krzysztof Soszynski",1977-08-02,"41","Winnipeg, Manitoba","Canada",15,"57","Reign MMA / Team Quest Temecula","Light Heavyweight","The Polish Experiment","The Polish Experiment","6","1"
"900","Kyle Kingsbury",1982-03-22,"36","San Jose, California","United States",18,"57","American Kickboxing Academy","Light Heavyweight","Kingsbu","Kingsbu","6","4"
"901","Chris Cope",1983-03-05,"35","San Diego, California","United States",14,"38","The Arena","Welterweight","C-Murder","C-Murder","6","0"
"902","Shamar Bailey",1982-09-22,"36","Indianapolis, Indiana","United States",10,"38","Sparta Indy","Welterweight","The Watchman","The Watchman","5","8"
"903","Clay Harvison",1980-09-25,"38","Marietta, Georgia","United States",15,"33","Madhouse Training / American Top Team Gwinnett","Welterweight","Heavy Metal","Heavy Metal","6","1"
"904","Reuben Duran",1983-07-02,"35","Fontana, California","United States",9,"14","CQuence Jiu-Jitsu","Bantamweight","Hurricane","Hurricane","5","7"
"905","Vladimir Matyushenko",1971-01-04,"47","Retchisa","Belarus",15,"57","VMAT","Light Heavyweight","The Janitor","The Janitor","6","1"
"906","Claude Patrick",1980-06-14,"38","Mississauga, Ontario","Canada",12,"38","Elite Mixed Fighters","Welterweight","The Prince","The Prince","5","10"
"907","Jason MacDonald",1975-06-03,"43","Edmonton, Alberta","Canada",16,"50","Pure Fitness / Gracie Barra Calgary","Middleweight","The Athlete","The Athlete","6","2"
"908","Mackens Semerzier",1980-11-03,"37","Virginia Beach, Virginia","United States",11,"20","Team Curran","Featherweight","Mack da Menace","Mack da Menace","5","9"
"909","Christian Morecraft",1986-09-08,"32","Plymouth, Massachusetts","United States",20,"100","Team Bombsquad","Heavyweight","character(0)","character(0)","6","6"
"910","Luiz Cane",1981-04-02,"37","Sao Paulo, Sao Paulo","Brazil",16,"57","Demian Maia Jiu-Jitsu","Light Heavyweight","Banha","Banha","6","2"
"911","Tiequan Zhang",1978-07-25,"40","Beijing","China",11,"20","China Top Team","Featherweight","The Wolf","The Wolf","5","9"
"912","Curt Warburton",NA,NA,"Bishop Auckland, County Durham","England",14,"29","NEVT","Lightweight","The War","The War","6","0"
"913","Paul Taylor",1979-12-15,"38","Walsall","England",14,"29","Team Supreme","Lightweight","Relentless","Relentless","6","0"
"914","Mark Hominick",1982-07-22,"36","London, Ontario","Canada",10,"20","Team Tompkins","Featherweight","The Machine","The Machine","5","8"
"915","Daniel Roberts",1980-08-05,"38","Rockford, Illinois","United States",12,"38","Cesar Gracie Fight Team","Welterweight","Ninja","Ninja","5","10"
"916","Ricardo Almeida",1976-11-29,"41","Bordentown, New Jersey","United States",13,"38","Renzo Gracie Jiu-Jitsu","Welterweight","Big Dog","Big Dog","5","11"
"917","Leonard Garcia",1979-07-14,"39","Plainview, Texas","United States",11,"20","Jackson-Wink MMA","Featherweight","Bad Boy","Bad Boy","5","9"
"918","Ian Loveland",1983-09-07,"35","Portland, Oregon","United States",10,"14","Sports Lab","Bantamweight","The Barn Owl","The Barn Owl","5","8"
"919","Kyle Watson",1979-08-09,"39","Granite City, Illinois","United States",14,"29","HIT Squad","Lightweight","character(0)","character(0)","6","0"
"920","Nick Pace",1987-04-17,"31","Staten Island, New York","United States",9,"14","Team Tiger Schulmann","Bantamweight","character(0)","character(0)","5","7"
"921","B.J. Penn",1978-12-13,"39","Hilo, Hawaii","United States",11,"20","BJ Penn's MMA","Featherweight","The Prodigy","The Prodigy","5","9"
"922","Maiquel Falcao",1981-03-08,"37","Pelotas, Rio Grande do Sul","Brazil",11,"54","Rasthai Temple","Light Heavyweight","Big Rig","Big Rig","5","9"
"923","George Sotiropoulos",1977-07-09,"41","Geelong, Victoria","Australia",12,"29","American Top Team","Lightweight","character(0)","character(0)","5","10"
"924","Brian Foster",1984-04-04,"34","Sallisaw, Oklahoma","United States",12,"29","Factory X","Lightweight","character(0)","character(0)","5","10"
"925","Paul Kelly",1984-09-12,"34","Liverpool","England",11,"37","Team Kaobon","Welterweight","Tellys","Tellys","5","9"
"926","Carlos Eduardo Rocha",1981-07-12,"37","Fortaleza, Ceara","Brazil",12,"38","American Kickboxing Academy","Welterweight","Ta Danado","Ta Danado","5","10"
"927","Jon Madsen",1980-02-12,"38","Granite City, Illinois","United States",14,"65","HIT Squad","Heavyweight","character(0)","character(0)","6","0"
"928","Rob Broughton",1983-03-03,"35","Liverpool","England",16,"97","Atherton Submission Wrestling","Heavyweight","The Bear","The Bear","6","2"
"929","Sean Sherk",1973-08-05,"45","Minneapolis, Minnesota","United States",8,"29","Minnesota Martial Arts Academy","Lightweight","The Muscle Shark","The Muscle Shark","5","6"
"930","Sean McCorkle",1976-07-17,"42","Indianapolis, Indiana","United States",21,"107","Team James Clingerman","Super Heavyweight","Big Sexy","Big Sexy","6","7"
"931","Randy Couture",1963-06-22,"55","Corvallis, Oregon","United States",15,"55","Xtreme Couture","Light Heavyweight","The Natural","The Natural","6","1"
"932","Greg Soto",1986-06-03,"32","Oakhurst, New Jersey","United States",13,"38","Pellegrino MMA","Welterweight","character(0)","character(0)","5","11"
"933","Matt Hughes",1973-10-13,"44","Hillsboro, Illinois","United States",11,"38","HIT Squad","Welterweight","character(0)","character(0)","5","9"
"934","Rob Kimmons",1981-01-30,"37","Liberty, Missouri","United States",12,"38","K2L Grindhouse","Welterweight","The Rosedale Reaper","The Rosedale Reaper","5","10"
"935","Ricardo Romero",1978-04-15,"40","North Brunswick, New Jersey","United States",14,"57","AMA Fight Club","Light Heavyweight","character(0)","character(0)","6","0"
"936","Kendall Grove",1982-11-12,"35","Maui, Hawaii","United States",20,"50","Straight Rootless Fight Team","Middleweight","Da Spyder","Da Spyder","6","6"
"937","Gerald Harris",1979-11-19,"38","Tulsa, Oklahoma","United States",13,"38","Hurricane Fitness","Welterweight","Hurricane","Hurricane","5","11"
"938","John Gunderson",1979-01-05,"39","Houston, Texas","United States",11,"20","Syndicate MMA","Featherweight","Guns","Guns","5","9"
"939","Mario Miranda",1978-09-21,"40","Rio de Janeiro","Brazil",17,"50","Black House","Middleweight","Super Mario","Super Mario","6","3"
"940","James Wilks",1978-04-05,"40","Leicestershire, East Midlands","England",15,"38","Lightning MMA","Welterweight","Lightning","Lightning","6","1"
"941","Aaron Riley",1980-12-09,"37","Tell City, Indiana","United States",11,"29","Jackson-Wink MMA","Lightweight","character(0)","character(0)","5","9"
"942","Ryan Jensen",1977-09-20,"41","Omaha, Nebraska","United States",12,"42","Jackson-Wink MMA","Middleweight","character(0)","character(0)","5","10"
"943","Joe Doerksen",1977-09-10,"41","Winnipeg, Manitoba","Canada",14,"51","Canadian Fighting Centre","Middleweight","El Dirte","El Dirte","6","0"
"944","Marcus Davis",1973-08-24,"45","Bangor, Maine","United States",10,"38","Team Irish","Welterweight","The Irish Hand Grenade","The Irish Hand Grenade","5","8"
"945","Michael Guymon",1974-09-17,"44","Lake Forest, California","United States",14,"29","Joker's MMA","Lightweight","The Joker","The Joker","6","0"
"946","John Salter",1985-03-21,"33","Nashville, Tennessee","United States",15,"50","Dethrone Base Camp","Middleweight","character(0)","character(0)","6","1"
"947","Andre Winner",1981-11-09,"36","Leicester, Leicestershire","England",13,"29","Team Rough House","Lightweight","character(0)","character(0)","5","11"
"948","Shane Carwin",1975-01-04,"43","Greeley, Colorado","United States",16,"94","Grudge Training Center","Heavyweight","character(0)","character(0)","6","2"
"949","Kurt Pellegrino",1979-05-07,"39","Point Pleasant, New Jersey","United States",10,"29","Pellegrino MMA","Lightweight","Batman","Batman","5","8"
"950","Alessio Sakara",1981-09-02,"37","Rome, Lazio","Italy",15,"57","American Top Team","Light Heavyweight","Legionarius","Legionarius","6","1"
"951","Jason Brilz",1975-07-07,"43","Omaha, Nebraska","United States",13,"57","Elite Performance","Light Heavyweight","The Hitman","The Hitman","5","11"
"952","Matt Serra",1974-06-02,"44","Long Island, New York","United States",8,"38","Serra-Longo Fight Team","Welterweight","The Terror","The Terror","5","6"
"953","Robert Emerson",1981-07-30,"37","Newport Beach, California","United States",10,"14","MMA Lab","Bantamweight","The Saint","The Saint","5","8"
"954","Chris Tuchscherer",1975-09-08,"43","Fargo, North Dakota","United States",16,"99","Academy of Combat Arts","Heavyweight","The Crowbar","The Crowbar","6","2"
