id,name,nickname,url,height,height_inches,weight,reach,stance,is_orthodox,dob,record,record_wins,record_losses,record_draws
665,Ryan Hall,"""The Wizard""",http://www.fightmetric.com/fighter-details/8866c6f509c19089,"5' 10""",70,145,71,,0,"Feb 22, 1985",6-1-0,6,1,0
666,Brendan O'Reilly,"""Badger""",http://www.fightmetric.com/fighter-details/494b0bfdbac74502,"5' 7""",67,170,69,Orthodox,1,"Jun 24, 1987",6-3-0 (1 NC),6,3,0
667,Elvis Mutapcic,"""The King""",http://www.fightmetric.com/fighter-details/28c55b4087a6f136,"6' 0""",72,185,72,Orthodox,1,"Jul 19, 1986",15-5-1,15,5,1
668,Kyle Noke,,http://www.fightmetric.com/fighter-details/7339d340aa2889cb,"6' 1""",73,170,76,Southpaw,0,"Mar 18, 1980",22-10-1,22,10,1
669,Yusuke Kasuya,,http://www.fightmetric.com/fighter-details/3058888c33149a53,"5' 7""",67,155,67,Southpaw,0,"Nov 16, 1989",9-3-2,9,3,2
670,Seohee Ham,,http://www.fightmetric.com/fighter-details/165c244bcca3ed26,"5' 2""",62,115,62,Southpaw,0,"Mar 08, 1987",16-8-0,16,8,0
671,Richard Walsh,"""Filthy Rich""",http://www.fightmetric.com/fighter-details/303a05a7aa3ff761,"6' 0""",72,170,73,,0,"Dec 01, 1988",9-6-0,9,6,0
672,Jonathan Meunier,"""The French Spider""",http://www.fightmetric.com/fighter-details/5823ceab56741617,"6' 3""",75,170,75,Switch,0,"Aug 04, 1987",8-1-0,8,1,0
673,Geane Herrera,"""The Revolutionary""",http://www.fightmetric.com/fighter-details/c169545ab0825f44,"5' 5""",65,125,66,Orthodox,1,"May 27, 1990",9-3-0,9,3,0
674,Ning Guangyou,"""Smasher""",http://www.fightmetric.com/fighter-details/2c1170b825f58e57,"5' 4""",64,145,64,Southpaw,0,"Dec 15, 1981",6-4-1,6,4,1
675,Yao Zhikui,"""The Conqueror""",http://www.fightmetric.com/fighter-details/5ea918ea81b7dee2,"5' 5""",65,125,64,Orthodox,1,"Feb 07, 1991",2-5-0,2,5,0
676,Ryan Bader,"""Darth""",http://www.fightmetric.com/fighter-details/c0ab242c40decc55,"6' 2""",74,205,74,Orthodox,1,"Jun 07, 1983",23-5-0,23,5,0
677,Manvel Gamburyan,"""The Anvil""",http://www.fightmetric.com/fighter-details/cc6f9d1e89f3449a,"5' 5""",65,135,67,Orthodox,1,"May 08, 1981",18-11-0 (1 NC),18,11,0
678,Magnus Cedenblad,"""Jycken""",http://www.fightmetric.com/fighter-details/0e21976afc92e4d1,"6' 5""",77,185,79,Orthodox,1,"Apr 10, 1982",14-5-0,14,5,0
679,Kyoji Horiguchi,,http://www.fightmetric.com/fighter-details/98aa60cf58071fd6,"5' 5""",65,125,66,Orthodox,1,"Oct 12, 1990",18-2-0,18,2,0
680,Ali Bagautinov,"""Puncher""",http://www.fightmetric.com/fighter-details/3dd92ff9fb0412b3,"5' 4""",64,125,65,Orthodox,1,"Jun 10, 1985",14-5-0,14,5,0
681,Magomed Mustafaev,,http://www.fightmetric.com/fighter-details/31d7446b184e3305,"5' 8""",68,155,71,Orthodox,1,"Aug 02, 1988",13-2-0,13,2,0
682,Anna Elmose,"""Panda""",http://www.fightmetric.com/fighter-details/1536a25e16fc299b,"5' 3""",63,115,65,Orthodox,1,"Oct 06, 1984",3-2-0,3,2,0
683,Alexander Yakovlev,"""Thunder of the North""",http://www.fightmetric.com/fighter-details/d06f8869449ba7bd,"6' 3""",75,170,74,Southpaw,0,"Jul 18, 1984",23-8-1,23,8,1
684,Milana Dudieva,,http://www.fightmetric.com/fighter-details/072a10e85f7d4bff,"5' 3""",63,135,61,Orthodox,1,"Aug 04, 1989",11-5-0,11,5,0
685,Conor McGregor,"""The Notorious""",http://www.fightmetric.com/fighter-details/f4c49976c75c5ab2,"5' 9""",69,155,74,Southpaw,0,"Jul 14, 1988",21-3-0,21,3,0
686,Miesha Tate,"""Cupcake""",http://www.fightmetric.com/fighter-details/b96619b3acd7d9da,"5' 6""",66,135,65,Orthodox,1,"Aug 18, 1986",18-7-0,18,7,0
687,Heather Jo Clark,"""Hurricane""",http://www.fightmetric.com/fighter-details/dd4c16777fb2ccf9,"5' 6""",66,115,64,,0,"Sep 19, 1980",7-6-0,7,6,0
688,Erik Perez,"""Goyito""",http://www.fightmetric.com/fighter-details/af62f99eb7606308,"5' 8""",68,135,68,Orthodox,1,"Nov 19, 1989",17-6-0,17,6,0
689,Erick Montano,"""Perry""",http://www.fightmetric.com/fighter-details/8163cd7de0342652,"6' 0""",72,170,73,Orthodox,1,"Nov 19, 1985",8-5-0,8,5,0
690,Jason Novelli,"""Pepsi""",http://www.fightmetric.com/fighter-details/459e4dc69ec669b2,"6' 0""",72,155,75,Orthodox,1,"Jun 08, 1979",11-3-1,11,3,1
691,Chris Avila,,http://www.fightmetric.com/fighter-details/4665cbf36b08193b,"5' 10""",70,145,72,Orthodox,1,"Jan 16, 1993",5-4-0,5,4,0
692,Dan Henderson,"""Hendo""",http://www.fightmetric.com/fighter-details/1ccf4e7caff270df,"5' 11""",71,185,74,Orthodox,1,"Aug 24, 1970",32-15-0,32,15,0
693,Albert Tumenov,"""Einstein""",http://www.fightmetric.com/fighter-details/ff6a1f63c254127e,"5' 11""",71,170,73,Orthodox,1,"Dec 26, 1991",17-4-0,17,4,0
694,Lukasz Sajewski,"""Wookie""",http://www.fightmetric.com/fighter-details/fb41432b622992a9,"5' 8""",68,155,71,Orthodox,1,"Nov 27, 1990",13-3-0,13,3,0
695,Leonardo Santos,"""Nenhum""",http://www.fightmetric.com/fighter-details/9c65736747ca92ec,"6' 0""",72,155,75,Orthodox,1,"Feb 05, 1980",16-4-1,16,4,1
696,Tamdan McCrory,"""The Barncat""",http://www.fightmetric.com/fighter-details/eff47295daf721a6,"6' 4""",76,185,78,Switch,0,"Nov 05, 1986",14-5-0,14,5,0
697,Cody East,"""The Freight Train""",http://www.fightmetric.com/fighter-details/5713c1d2fac539ac,"6' 3""",75,245,74,Orthodox,1,"Jun 29, 1988",12-3-0,12,3,0
698,Kelly Faszholz,,http://www.fightmetric.com/fighter-details/9c42a0de8e012870,"5' 8""",68,135,67,Orthodox,1,"Apr 09, 1985",3-2-0,3,2,0
699,Antonio Silva,"""Bigfoot""",http://www.fightmetric.com/fighter-details/8349d55cdecd393a,"6' 4""",76,264,80,Orthodox,1,"Sep 14, 1979",19-10-1 (1 NC),19,10,1
700,Hector Urbina,"""El Toro""",http://www.fightmetric.com/fighter-details/4b8fb0453a596b8e,"5' 11""",71,170,73,Orthodox,1,"Sep 17, 1987",25-10-1,25,10,1
701,Glaico Franca,"""Nego""",http://www.fightmetric.com/fighter-details/00a3ff40c4b2cf21,"6' 0""",72,155,77,,0,"Feb 28, 1991",14-5-0,14,5,0
702,Kenny Robertson,,http://www.fightmetric.com/fighter-details/6e0273f9478be71e,"5' 10""",70,170,74,Orthodox,1,"Feb 14, 1984",15-5-0,15,5,0
703,Maximo Blanco,"""Maxi""",http://www.fightmetric.com/fighter-details/4a1329cc8eb0928a,"5' 8""",68,145,71,Orthodox,1,"Oct 16, 1983",12-8-1 (1 NC),12,8,1
704,Augusto Montano,"""Dodger""",http://www.fightmetric.com/fighter-details/94508d80e1f885fc,"6' 1""",73,170,73,Orthodox,1,"Oct 25, 1984",15-3-0,15,3,0
705,Leonardo Augusto Leleco,"""Leleco""",http://www.fightmetric.com/fighter-details/cc98d857b148e33a,"6' 0""",72,185,73,Orthodox,1,"Apr 15, 1982",11-3-0 (1 NC),11,3,0
706,Joey Gomez,,http://www.fightmetric.com/fighter-details/0778f94eb5d588a5,"5' 10""",70,155,71,Orthodox,1,"Aug 29, 1989",7-1-0,7,1,0
707,Caio Magalhaes,"""Hellboy""",http://www.fightmetric.com/fighter-details/0c5c66ddd1886b83,"6' 1""",73,185,73,Orthodox,1,"Dec 14, 1987",9-3-0,9,3,0
708,Sean Spencer,"""Black Magic""",http://www.fightmetric.com/fighter-details/ab850a77a0fa487d,"5' 10""",70,170,75,,0,"Jun 25, 1987",12-6-0,12,6,0
709,Josh Barnett,"""The Warmaster""",http://www.fightmetric.com/fighter-details/ad3f53c454cbbead,"6' 3""",75,250,78,Orthodox,1,"Nov 10, 1977",35-8-0,35,8,0
710,Tae Hyun Bang,"""The Korean Cowboy""",http://www.fightmetric.com/fighter-details/9a2d3567abc02e34,"5' 9""",69,155,71,Switch,0,"Apr 15, 1983",18-10-0,18,10,0
711,Nicolas Dalby,"""Sharpshooter""",http://www.fightmetric.com/fighter-details/9d19d9e4aa2662e8,"5' 11""",71,170,74,Orthodox,1,"Nov 16, 1984",14-2-1,14,2,1
712,Taylor Lapilus,"""Double Impact""",http://www.fightmetric.com/fighter-details/8b1ed83b02303075,"5' 6""",66,135,73,Southpaw,0,"Apr 08, 1992",11-2-0,11,2,0
713,Leandro Issa,"""Brodinho""",http://www.fightmetric.com/fighter-details/d1e1fdcea7c8a90a,"5' 7""",67,135,69,Orthodox,1,"Sep 19, 1983",13-6-0,13,6,0
714,Jarjis Danho,"""Man Mountain""",http://www.fightmetric.com/fighter-details/8614b7134913f5d5,"6' 3""",75,265,74,Orthodox,1,"Oct 15, 1983",6-1-1 (1 NC),6,1,1
715,Leandro Silva,"""Buscape""",http://www.fightmetric.com/fighter-details/159da492e000afbf,"5' 9""",69,155,72,Orthodox,1,"Nov 11, 1985",19-4-1 (1 NC),19,4,1
716,Kevin Casey,"""King""",http://www.fightmetric.com/fighter-details/8d9586726252dbf7,"5' 11""",71,185,77,Southpaw,0,"Jun 15, 1981",9-5-1 (2 NC),9,5,1
717,Shane Campbell,"""Shaolin""",http://www.fightmetric.com/fighter-details/784285b7ae7dd85f,"6' 0""",72,155,71,Orthodox,1,"Jan 21, 1987",12-6-0,12,6,0
718,Nate Diaz,,http://www.fightmetric.com/fighter-details/8355922d564b152c,"6' 0""",72,170,76,Southpaw,0,"Apr 16, 1985",20-11-0,20,11,0
719,Rick Story,"""The Horror""",http://www.fightmetric.com/fighter-details/5b5307450405abf0,"5' 9""",69,170,71,Southpaw,0,"Aug 28, 1984",19-9-0,19,9,0
720,Elizabeth Phillips,,http://www.fightmetric.com/fighter-details/dcbf01d605681ad1,"5' 6""",66,135,65,Orthodox,1,"Aug 20, 1986",5-4-0,5,4,0
721,Lorenz Larkin,"""The Monsoon""",http://www.fightmetric.com/fighter-details/9450848a71d53776,"5' 11""",71,170,72,Orthodox,1,"Sep 03, 1986",18-5-0 (1 NC),18,5,0
722,Alberto Uda,,http://www.fightmetric.com/fighter-details/8f2deefe8c5dfb5d,"6' 3""",75,185,77,Orthodox,1,"Aug 08, 1984",9-2-0,9,2,0
723,Horacio Gutierrez,"""The Punisher""",http://www.fightmetric.com/fighter-details/cd85b48dc880fabd,"5' 10""",70,145,69,,0,"Sep 15, 1990",3-3-0,3,3,0
724,Tatsuya Kawajiri,"""The Crusher""",http://www.fightmetric.com/fighter-details/80d918336163b80c,"5' 7""",67,145,69,Orthodox,1,"May 08, 1978",35-10-2,35,10,2
725,Francisco Rivera,"""Cisco""",http://www.fightmetric.com/fighter-details/7ea4a9f07df33a45,"5' 8""",68,135,68,Orthodox,1,"Oct 08, 1981",11-7-0 (1 NC),11,7,0
726,Michael Graves,,http://www.fightmetric.com/fighter-details/3f1d23b01c552a13,"5' 10""",70,170,71,,0,"Jan 08, 1991",6-0-1,6,0,1
727,Cesar Arzamendia,"""Goku""",http://www.fightmetric.com/fighter-details/49f78022126bf4a4,"5' 11""",71,155,71,,0,"Jan 31, 1991",7-4-0,7,4,0
728,Jim Alers,"""The Beast""",http://www.fightmetric.com/fighter-details/fe5a9547479396ab,"5' 9""",69,145,71,Orthodox,1,"Oct 14, 1986",13-3-0 (1 NC),13,3,0
729,Michael McDonald,"""Mayday""",http://www.fightmetric.com/fighter-details/d0314416a7f26527,"5' 9""",69,135,70,Orthodox,1,"Jan 15, 1991",17-4-0,17,4,0
730,Josh Samman,"""Anqa""",http://www.fightmetric.com/fighter-details/9deff9e3e8d94d47,"6' 3""",75,185,79,Orthodox,1,"Mar 14, 1988",12-5-0,12,5,0
731,Cristina Stanciu,"""Barbie""",http://www.fightmetric.com/fighter-details/175852708cb55776,"5' 3""",63,115,64,Orthodox,1,"Mar 29, 1994",5-2-0,5,2,0
732,Cody Pfister,"""The Fist""",http://www.fightmetric.com/fighter-details/5904b0b38dc6718d,"5' 10""",70,155,73,Orthodox,1,"Jul 12, 1990",12-6-1,12,6,1
733,Brock Lesnar,,http://www.fightmetric.com/fighter-details/513c6f1715e547a8,"6' 3""",75,265,81,Orthodox,1,"Jul 12, 1977",5-3-0 (1 NC),5,3,0
734,Cain Velasquez,,http://www.fightmetric.com/fighter-details/0ff11cc094e887bc,"6' 1""",73,240,77,Orthodox,1,"Jul 28, 1982",14-2-0,14,2,0
735,Enrique Marin,"""Wasabi""",http://www.fightmetric.com/fighter-details/23a6e307077c6ccc,"5' 10""",70,170,74,,0,"Sep 02, 1986",9-4-0,9,4,0
736,Thiago Tavares,,http://www.fightmetric.com/fighter-details/8a59d346dc976a10,"5' 7""",67,145,68,Orthodox,1,"Nov 08, 1984",24-7-1,24,7,1
737,Fernando Bruno,"""Acougueiro""",http://www.fightmetric.com/fighter-details/b8c0f30ee9a98b69,"5' 6""",66,145,70,,0,"Feb 24, 1982",16-4-0,16,4,0
738,Cory Hendricks,,http://www.fightmetric.com/fighter-details/9ab9912e0f8fa6d6,"6' 3""",75,205,--,,0,"May 10, 1988",3-1-0,3,1,0
739,Anton Zafir,"""The Professor""",http://www.fightmetric.com/fighter-details/8c822811eedc11ad,"5' 11""",71,170,72,Orthodox,1,"May 10, 1987",7-3-0,7,3,0
740,Mehdi Baghdad,"""The Sultan""",http://www.fightmetric.com/fighter-details/e4d2564ea0e34e2b,"6' 1""",73,155,75,Orthodox,1,"Apr 13, 1985",11-4-0,11,4,0
741,Anthony Birchak,"""El Toro""",http://www.fightmetric.com/fighter-details/c5a126ace82a6025,"5' 8""",68,135,69,Orthodox,1,"May 16, 1986",13-3-0,13,3,0
742,Dileno Lopes,,http://www.fightmetric.com/fighter-details/8270c00fae24c922,"5' 5""",65,135,65,,0,"Sep 26, 1984",19-3-0,19,3,0
743,Jerrod Sanders,"""J-Reazie""",http://www.fightmetric.com/fighter-details/12f1b140e248bdb9,"5' 8""",68,135,72,Orthodox,1,"Oct 01, 1979",15-3-0 (1 NC),15,3,0
744,Rory MacDonald,"""Red King""",http://www.fightmetric.com/fighter-details/cbd5d3cdd862e90e,"6' 0""",72,170,76,Orthodox,1,"Jul 22, 1989",18-4-0,18,4,0
745,Steve Bosse,"""The Boss""",http://www.fightmetric.com/fighter-details/e023fa2e648ea0f1,"5' 11""",71,205,72,Orthodox,1,"Jul 29, 1981",12-2-0,12,2,0
746,Chris Beal,"""Real Deal""",http://www.fightmetric.com/fighter-details/55f446032177b119,"5' 7""",67,125,69,Orthodox,1,"Aug 06, 1985",10-3-0,10,3,0
747,Zubaira Tukhugov,"""Warrior""",http://www.fightmetric.com/fighter-details/aceffa19749c4dc0,"5' 8""",68,145,68,Orthodox,1,"Jan 15, 1991",18-4-0,18,4,0
748,Yan Cabral,,http://www.fightmetric.com/fighter-details/7cdd3e5d3aa9cb39,"5' 11""",71,155,73,Orthodox,1,"May 13, 1983",12-3-0,12,3,0
749,Dominic Waters,"""Sho Nuff""",http://www.fightmetric.com/fighter-details/2de91c2244ad7e89,"6' 1""",73,170,79,Orthodox,1,"Apr 11, 1989",9-5-0,9,5,0
750,Willie Gates,"""Whoop Ass""",http://www.fightmetric.com/fighter-details/6ded9184b2284645,"5' 8""",68,125,70,Orthodox,1,"Jan 21, 1987",12-7-0,12,7,0
751,Chris Kelades,"""The Greek Assassin""",http://www.fightmetric.com/fighter-details/56c9acc4e86046a2,"5' 7""",67,125,68,Orthodox,1,"Feb 21, 1981",9-3-0,9,3,0
752,Clint Hester,"""Headbussa""",http://www.fightmetric.com/fighter-details/92b62174c175ce19,"6' 2""",74,205,77,Orthodox,1,"Nov 21, 1986",11-6-0,11,6,0
753,Efrain Escudero,"""Hecho En Mexico""",http://www.fightmetric.com/fighter-details/83fd97284f4bb4a4,"5' 9""",69,155,70,Orthodox,1,"Jan 15, 1986",25-11-0,25,11,0
754,Ben Rothwell,,http://www.fightmetric.com/fighter-details/bd58d34e39b7b12a,"6' 4""",76,265,78,Orthodox,1,"Oct 17, 1981",36-10-0,36,10,0
755,Gabriel Gonzaga,"""Napao""",http://www.fightmetric.com/fighter-details/270b89c00ef0c55c,"6' 2""",74,242,76,Orthodox,1,"May 18, 1979",17-11-0,17,11,0
756,Igor Pokrajac,"""The Duke""",http://www.fightmetric.com/fighter-details/53278852bcd91e11,"6' 0""",72,205,76,Orthodox,1,"Jan 02, 1979",28-13-0 (1 NC),28,13,0
757,Ian Entwistle,"""Enty""",http://www.fightmetric.com/fighter-details/d7adfcfdf7c6c1f8,"5' 5""",65,135,64,Orthodox,1,"Nov 19, 1986",9-3-0,9,3,0
758,Filip Pejic,"""Nitro""",http://www.fightmetric.com/fighter-details/38ed5a2299230227,"5' 8""",68,135,70,Orthodox,1,"Jul 21, 1992",10-2-1,10,2,1
759,Rob Whiteford,"""The Hammer""",http://www.fightmetric.com/fighter-details/1dafccb62a0f98ec,"5' 9""",69,145,69,Southpaw,0,"Apr 12, 1983",12-4-0,12,4,0
760,Lucas Martins,"""Mineiro""",http://www.fightmetric.com/fighter-details/7413b80dbb0f8f9f,"6' 0""",72,145,72,Southpaw,0,"Nov 11, 1988",16-3-0,16,3,0
761,Frank Mir,,http://www.fightmetric.com/fighter-details/1ff9589f9065a9ed,"6' 3""",75,264,79,Southpaw,0,"May 24, 1979",18-11-0,18,11,0
762,James Te Huna,,http://www.fightmetric.com/fighter-details/f5431394fb284bb9,"6' 2""",74,185,75,Orthodox,1,"Sep 29, 1981",18-9-0,18,9,0
763,Mark Eddiva,,http://www.fightmetric.com/fighter-details/40ff198adda94b9f,"5' 8""",68,145,68,Orthodox,1,"Feb 16, 1986",6-3-0,6,3,0
764,Rin Nakai,,http://www.fightmetric.com/fighter-details/f9ae6914f604aa9f,"5' 1""",61,135,60,Orthodox,1,"Oct 22, 1986",16-2-1,16,2,1
765,Viscardi Andrade,,http://www.fightmetric.com/fighter-details/d221ee27afc7a60e,"5' 11""",71,170,75,Orthodox,1,"Mar 08, 1984",19-7-0,19,7,0
766,Tom Lawlor,"""Filthy""",http://www.fightmetric.com/fighter-details/4d44f37107f01b9b,"6' 0""",72,205,74,Southpaw,0,"May 15, 1983",10-6-0 (1 NC),10,6,0
767,Marcelo Guimaraes,"""Magrao""",http://www.fightmetric.com/fighter-details/0c9c0a43d3f3f49d,"6' 0""",72,185,73,Orthodox,1,"Jun 25, 1983",9-2-1,9,2,1
768,Justin Salas,"""J-Bomb""",http://www.fightmetric.com/fighter-details/9b198c73e3d0d289,"5' 8""",68,155,70,Southpaw,0,"Mar 13, 1982",12-7-0,12,7,0
769,Julian Erosa,"""Juicy J""",http://www.fightmetric.com/fighter-details/902ec2cc48c8ae8a,"6' 1""",73,145,75,Southpaw,0,"Jul 31, 1989",21-6-0,21,6,0
770,Mike Wilkinson,"""The Warrior""",http://www.fightmetric.com/fighter-details/cfaf010d5b389c09,"5' 7""",67,145,68,,0,"Sep 15, 1987",9-2-0,9,2,0
771,Chris Dempsey,,http://www.fightmetric.com/fighter-details/dfae5da5676e4194,"5' 10""",70,185,72,Orthodox,1,"Sep 08, 1987",11-4-0,11,4,0
772,Yaotzin Meza,,http://www.fightmetric.com/fighter-details/3623bd267a2eef2e,"5' 9""",69,145,74,Orthodox,1,"Feb 04, 1981",21-11-0 (1 NC),21,11,0
773,Norman Parke,"""Stormin'""",http://www.fightmetric.com/fighter-details/14ff46596ad80609,"5' 11""",71,155,70,,0,"Dec 22, 1986",22-5-1,22,5,1
774,Martin Svensson,"""Big Swede""",http://www.fightmetric.com/fighter-details/bcad7223af3c19da,"6' 1""",73,155,72,,0,"Apr 25, 1985",14-6-0,14,6,0
775,Joe Riggs,"""Diesel""",http://www.fightmetric.com/fighter-details/d512d9f204059f57,"6' 0""",72,185,70,Southpaw,0,"Sep 23, 1982",41-17-0 (1 NC),41,17,0
776,Daniel Sarafian,,http://www.fightmetric.com/fighter-details/7e47047d0971d566,"5' 9""",69,185,73,Orthodox,1,"Aug 21, 1982",10-6-0,10,6,0
777,Jonavin Webb,"""The Spyder""",http://www.fightmetric.com/fighter-details/f40ec51dd4de47c3,"5' 10""",70,170,71,Orthodox,1,"Apr 28, 1989",8-2-0 (1 NC),8,2,0
778,Jared Rosholt,,http://www.fightmetric.com/fighter-details/91ea901c458e95dd,"6' 2""",74,265,75,Orthodox,1,"Aug 04, 1986",14-3-0,14,3,0
779,Rafael Feijao,"""Feijao""",http://www.fightmetric.com/fighter-details/5c1ca0c72b599a3c,"6' 1""",73,205,73,Orthodox,1,"Apr 14, 1980",12-7-0 (1 NC),12,7,0
780,KJ Noons,"""King""",http://www.fightmetric.com/fighter-details/b7ffa72aa148599a,"5' 10""",70,155,72,Orthodox,1,"Dec 07, 1982",12-8-0 (1 NC),12,8,0
781,Noad Lahat,"""Neo""",http://www.fightmetric.com/fighter-details/9f755fb04cc21499,"5' 9""",69,145,69,Orthodox,1,"Jun 08, 1984",9-2-0,9,2,0
782,Masio Fullen,"""Lobo""",http://www.fightmetric.com/fighter-details/4638cc6479cc0afe,"5' 10""",70,145,70,Orthodox,1,"Oct 06, 1986",10-6-0,10,6,0
783,Matt Dwyer,,http://www.fightmetric.com/fighter-details/8f0d576beba1cfcd,"6' 4""",76,170,76,Orthodox,1,"Dec 17, 1989",8-4-0,8,4,0
784,Damon Jackson,"""The Leech""",http://www.fightmetric.com/fighter-details/29af297d9f1de0f8,"5' 11""",71,145,71,Switch,0,"Aug 08, 1988",9-1-1 (1 NC),9,1,1
785,Levan Makashvili,"""The Hornet""",http://www.fightmetric.com/fighter-details/938ad489fb7a1f31,"5' 8""",68,145,68,Orthodox,1,"Jan 07, 1989",10-2-1,10,2,1
786,Felipe Olivieri,,http://www.fightmetric.com/fighter-details/948880beac71f028,"5' 9""",69,155,72,Orthodox,1,"Apr 12, 1985",14-5-0 (1 NC),14,5,0
787,Matt Mitrione,,http://www.fightmetric.com/fighter-details/ba280572acfba13f,"6' 3""",75,265,79,Switch,0,"Jul 15, 1978",9-5-0,9,5,0
788,Daron Cruickshank,"""Detroit Superstar""",http://www.fightmetric.com/fighter-details/5f99b2bafb10305f,"5' 8""",68,155,72,Switch,0,"Jun 11, 1985",16-8-0 (1 NC),16,8,0
789,Diego Brandao,"""DB""",http://www.fightmetric.com/fighter-details/c2e3e67b5911bfb7,"5' 7""",67,145,68,Orthodox,1,"May 27, 1987",24-11-0,24,11,0
790,Tony Sims,,http://www.fightmetric.com/fighter-details/57bad6a84230f0c9,"5' 11""",71,155,70,Southpaw,0,"Oct 14, 1985",12-4-0,12,4,0
791,Masanori Kanehara,,http://www.fightmetric.com/fighter-details/f3a078277b3b8ff4,"5' 7""",67,135,67,Orthodox,1,"Nov 19, 1982",25-13-5,25,13,5
792,Sheldon Westcott,,http://www.fightmetric.com/fighter-details/ec2d13a87d3d9541,"6' 1""",73,170,71,Southpaw,0,"Aug 20, 1984",10-3-1,10,3,1
793,Edgar Garcia,,http://www.fightmetric.com/fighter-details/8d49545dadf9b919,"5' 10""",70,170,71,Orthodox,1,"Feb 22, 1984",14-5-0,14,5,0
794,Sarah Kaufman,,http://www.fightmetric.com/fighter-details/36df8e119aec6175,"5' 5""",65,135,67,Orthodox,1,"Sep 20, 1985",17-4-0 (1 NC),17,4,0
795,Danny Castillo,"""Last Call""",http://www.fightmetric.com/fighter-details/d1e7fc58d4225cdf,"5' 9""",69,155,71,Orthodox,1,"Aug 25, 1979",17-10-0,17,10,0
796,Hayder Hassan,"""Hulk""",http://www.fightmetric.com/fighter-details/cf615eb4b7862c76,"5' 10""",70,170,70,,0,"Oct 20, 1982",6-3-0,6,3,0
797,Marcio Alexandre Junior,"""Lyoto""",http://www.fightmetric.com/fighter-details/d53482bef23235ba,"6' 0""",72,185,75,Southpaw,0,"May 05, 1989",17-4-0,17,4,0
798,Marcin Wrzosek,"""The Polish Zombie""",http://www.fightmetric.com/fighter-details/aac6edb0d5e0b7e9,"5' 9""",69,155,--,,0,"Oct 14, 1987",10-4-0,10,4,0
799,Konstantin Erokhin,"""The Russian Bear""",http://www.fightmetric.com/fighter-details/22061ff217907c78,"5' 11""",71,230,73,Orthodox,1,"Jan 31, 1983",9-3-0,9,3,0
800,Mike Pierce,,http://www.fightmetric.com/fighter-details/236a37d96d476164,"5' 8""",68,170,70,Orthodox,1,"Sep 01, 1980",17-7-0,17,7,0
801,Abner Lloveras,"""Skullman""",http://www.fightmetric.com/fighter-details/6448e57a9533b7e4,"5' 11""",71,155,71,,0,"Sep 04, 1982",19-8-1,19,8,1
802,John Howard,"""Doomsday""",http://www.fightmetric.com/fighter-details/fc31f896cde2bc2e,"5' 7""",67,170,71,Orthodox,1,"Mar 01, 1983",23-12-0,23,12,0
803,Andreas Stahl,"""Real Steel""",http://www.fightmetric.com/fighter-details/69a400af4420cd6a,"5' 11""",71,170,73,Orthodox,1,"May 20, 1988",9-2-0,9,2,0
804,Emily Peters Kagan,,http://www.fightmetric.com/fighter-details/c1ea9d56cd953586,"5' 3""",63,115,66,,0,"Jul 14, 1981",3-3-0,3,3,0
805,Benson Henderson,"""Smooth""",http://www.fightmetric.com/fighter-details/2676b28836a5a836,"5' 9""",69,170,70,Southpaw,0,"Nov 16, 1983",23-5-0,23,5,0
806,Yoshihiro Akiyama,,http://www.fightmetric.com/fighter-details/b0550072e5f0afa7,"5' 10""",70,170,73,Orthodox,1,"Jul 29, 1975",14-6-0 (2 NC),14,6,0
807,Dongi Yang,"""The Ox""",http://www.fightmetric.com/fighter-details/aed06011bf62237b,"5' 10""",70,185,71,Southpaw,0,"Dec 07, 1984",13-3-0,13,3,0
808,Yui Chul Nam,"""The Korean Bulldozer""",http://www.fightmetric.com/fighter-details/a00ec21cfbba17b6,"5' 9""",69,145,69,Orthodox,1,"Jul 16, 1981",18-6-1,18,6,1
809,Leo Kuntz,"""The Lion""",,,,,,,,,,,,
810,Scott Jorgensen,"""Young Guns""",http://www.fightmetric.com/fighter-details/0b64d0fed453ef7f,"5' 5""",65,135,66,Orthodox,1,"Sep 17, 1982",15-12-0,15,12,0
811,Vernon Ramos,,http://www.fightmetric.com/fighter-details/30b577b112bef42d,"5' 6""",66,170,72,Orthodox,1,"Jun 03, 1992",3-2-0,3,2,0
812,Valmir Lazaro,"""Bidu""",http://www.fightmetric.com/fighter-details/777dea713da2441d,"6' 0""",72,155,73,Orthodox,1,"Aug 15, 1985",13-4-0,13,4,0
813,Akbarh Arreola,"""El Caballero""",http://www.fightmetric.com/fighter-details/c136b2a8852da5bd,"5' 10""",70,155,71,Southpaw,0,"Jan 14, 1983",23-10-1,23,10,1
814,Anthony Perosh,"""The Hippo""",http://www.fightmetric.com/fighter-details/4b4753d19489297f,"6' 3""",75,205,75,Orthodox,1,"Oct 05, 1972",15-10-0,15,10,0
815,Richie Vaculik,"""Vas""",http://www.fightmetric.com/fighter-details/54578e5927adea53,"5' 6""",66,125,69,Orthodox,1,"Jun 19, 1983",10-5-0,10,5,0
816,Danny Martinez,"""The Gremlin""",http://www.fightmetric.com/fighter-details/8a9c6c4301f6d088,"5' 6""",66,125,67,Orthodox,1,"Jun 14, 1985",18-7-0,18,7,0
817,Steve Montgomery,"""The Creepy Weasel""",http://www.fightmetric.com/fighter-details/6e92eb1242b46636,"6' 4""",76,185,75,Southpaw,0,"Dec 19, 1990",8-4-0,8,4,0
